,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
RAGChecker_claim_recall,200.0,0.7716087285075719,0.10464291824399714,0.0,0.7225451834496385,0.7708619364135316,0.8338723001575473,1.0,-2.0170332609041033,13.831043098475519
RAGChecker_context_utilization,200.0,0.5958084629021121,0.3434175851345332,0.0,0.2979683742367882,0.4131635240012309,0.9837793785009386,1.0,0.07370177545942014,-1.7278704159444302
RAGChecker_faithfulness,200.0,0.06262059061224273,0.10043481448915072,0.0,0.0,0.0289395629586094,0.0964566709699005,1.0,4.669182777720628,37.693293879629046
RAGChecker_noise_sensitivity,200.0,0.9333714795084834,0.1073324119586013,0.0,0.8865003012726981,0.9907984776621651,1.0,1.0,-3.950751797929411,28.237470721414066
RAGChecker_hallucination,200.0,0.9600353839608269,0.08643875096206688,0.0,0.934514554110059,1.0,1.0,1.0,-7.272698630735757,76.47224286910766
TRACe_utilization,200.0,0.677800218061504,0.21709370174848766,0.0,0.5418386338808476,0.7148819914403013,0.8621318324728056,1.0,-0.5770981582956403,-0.25425311538257445
TRACe_relevance,200.0,0.263843286630923,0.22117626945937355,0.0,0.08004328918454873,0.2321889119563154,0.4021559118211161,1.0,0.8659951358140936,0.4596255381435266
TRACe_adherence,200.0,0.6640255965116286,0.20108427810638563,0.0,0.5406837274792331,0.7091153469188944,0.8041046370638721,1.0,-0.7772349794651674,0.1189570800735531
TRACe_completeness,200.0,0.6349180857557208,0.3861715965088263,0.0,0.14631360256615666,0.9118352582215707,1.0,1.0,-0.3955876538149901,-1.6196981271277584
ARES_context_relevance,200.0,0.3712597013174376,0.2788285382664081,0.0,0.145679265856838,0.2448781283583307,0.6044347835884579,1.0,0.6683903275987895,-1.0166821469123013
ARES_answer_faithfulness,200.0,0.7070744086200093,0.19752429926688508,0.0,0.6318871202637183,0.761548362480214,0.8461034097447908,1.0,-1.2824880777476615,1.4924968167719053
ARES_answer_relevance,200.0,0.55718409958959,0.22087511327065265,0.0,0.35843406328206884,0.5821569993827744,0.7457243739750783,1.0,-0.11617252446304942,-1.0575549274045724
BERTScore_precision,200.0,0.22813773018444367,0.1876022430165221,0.0,0.09086322524188292,0.16528206659948955,0.31939178907704796,1.0,1.2958933865325064,1.6181291494024368
BERTScore_recall,200.0,0.23233681198453418,0.1902888579789152,0.0,0.08541526795455882,0.1847576827200956,0.3389593851628814,1.0,1.2241449407491583,1.5449152268015647
BERTScore_f1,200.0,0.23971674695194614,0.1926228505893192,0.0,0.09433997932931906,0.18666252718615634,0.347538504298419,1.0,1.2515904496846988,1.4600844774540898
UniEval_coherence,200.0,0.6325190491050446,0.23771104601951765,0.0,0.45822913897267836,0.6653440933930843,0.8405685269440419,1.0,-0.572586222270722,-0.629008094619679
UniEval_consistency,200.0,0.6034292664843766,0.17099994342857158,0.0,0.5006324110421726,0.6333046821233915,0.725976598594309,1.0,-0.7074674334143392,0.4417091835963567
UniEval_fluency,200.0,0.7674077406040989,0.22020581024860356,0.0,0.6343055719692609,0.8061792036898919,0.9735023039237505,1.0,-0.9758481460308134,0.6493442050738887
UniEval_relevance,200.0,0.5968368087236804,0.18825266301868548,0.0,0.5123695795177553,0.6144107285896461,0.7190367039519503,1.0,-0.7647265548182022,0.9043956218611875
UniEval_overall,200.0,0.532858104807503,0.20064394823419998,0.0,0.3997388666734437,0.5255948084118397,0.6780571206074772,1.0,0.057874570080542934,-0.3980183204901091
QAFactEval_factual_consistency,200.0,0.25554920539003967,0.1791735697607909,0.0,0.12474257720843235,0.2327464421766205,0.3627537680751457,1.0,0.6826682362080646,0.6581769566487079
FaithJudge_faithfulness,200.0,0.9096550000000002,0.18842426727331973,0.0,0.97,0.98,1.0,1.0,-3.2445841247071736,11.239287497251187
